tipo	slug	nombre	motivo	lead_autogenerado
categoria	blanqueamiento-dental	Blanqueamiento Dental	sin-descripcion-wp	Artículos sobre Blanqueamiento Dental.
categoria	cirugia-oral	Cirugía oral	sin-descripcion-wp	Artículos sobre Cirugía oral.
categoria	endodoncias	Endodoncias	sin-descripcion-wp	Artículos sobre Endodoncias.
categoria	implantes-dentales	Implantes dentales	sin-descripcion-wp	Artículos sobre Implantes dentales.
categoria	invisalign	Invisalign	sin-descripcion-wp	Artículos sobre Invisalign.
categoria	odontologia-conservadora	Odontología Conservadora	sin-descripcion-wp	Artículos sobre Odontología Conservadora.
categoria	odontologia-digital	Odontología Digital	sin-descripcion-wp	Artículos sobre Odontología Digital.
categoria	odontopediatria	Odontopediatría	sin-descripcion-wp	Artículos sobre Odontopediatría.
categoria	ortodoncia	Ortodoncia	sin-descripcion-wp	Artículos sobre Ortodoncia.
categoria	periodoncia	Periodoncia	sin-descripcion-wp	Artículos sobre Periodoncia.
categoria	promociones	Promociones	sin-descripcion-wp	Artículos sobre Promociones.
categoria	protesis-dentales	Prótesis Dentales	sin-descripcion-wp	Artículos sobre Prótesis Dentales.
categoria	radiologia-dental-3d	Radiología Dental 3D	sin-descripcion-wp	Artículos sobre Radiología Dental 3D.
categoria	seguro-dental-adeslas-segurcaixa	Seguro Dental Adeslas Segurcaixa	sin-descripcion-wp	Artículos sobre Seguro Dental Adeslas Segurcaixa.
categoria	seguro-dental-asisa	Seguro Dental Asisa	sin-descripcion-wp	Artículos sobre Seguro Dental Asisa.
categoria	seguro-dental-mapfre	Seguro Dental Mapfre	sin-descripcion-wp	Artículos sobre Seguro Dental Mapfre.
categoria	sin-categoria	Sin categoría	sin-descripcion-wp	Artículos sobre Sin categoría.
tag	carillas-dentales	Carillas Dentales	sin-descripcion-wp	Artículos sobre Carillas Dentales.
tag	cepillado-dental	cepillado dental	sin-descripcion-wp	Artículos sobre cepillado dental.
tag	consejos-dentales	Consejos Dentales	sin-descripcion-wp	Artículos sobre Consejos Dentales.
tag	estetica-dental	estética dental	sin-descripcion-wp	Artículos sobre estética dental.
tag	gingivitis	gingivitis	sin-descripcion-wp	Artículos sobre gingivitis.
tag	higiene-oral	higiene oral	sin-descripcion-wp	Artículos sobre higiene oral.
tag	invisalign	invisalign	sin-descripcion-wp	Artículos sobre invisalign.
tag	odontopediatria	odontopediatría	sin-descripcion-wp	Artículos sobre odontopediatría.
tag	ortodoncia	Ortodoncia	sin-descripcion-wp	Artículos sobre Ortodoncia.
tag	ortopedia	ortopedia	sin-descripcion-wp	Artículos sobre ortopedia.
tag	periodontitis	periodontitis	sin-descripcion-wp	Artículos sobre periodontitis.
tag	salud-oral	salud oral	sin-descripcion-wp	Artículos sobre salud oral.
